"Feedback Date/Time","Customer Message","Agency Name","Status"
"12/29/2025 12:31:00 AM","Shelters are control victims, stealing their phones. Robbing them from progressing and turning them out. Please we need to be able to make reports online. No phone. We are in danger !","Department of Homeless Services","Already Exists"
"12/26/2025 07:01:00 PM","need a 311 complaint topic for private lights bothering neighboring apts/buildings and allow attachments","Department of Buildings","In Review"
"12/16/2025 08:57:00 AM","How do I file a report of dangerous icy conditions on a walkway that should be cleared by DSNY?","Department of Sanitation","Already Exists"
"12/05/2025 11:42:00 AM","It’s 20° and some businesses clear their sidewalks with water and so it’s just going to freeze and turn into an icy sidewalk and you can’t complain because you’re saying it hasn’t snowed what a bullshit response","Department of Sanitation","Already Exists"
"10/31/2025 10:45:00 AM","When I want to report an idling vehicle, the form automatically assumes my complaint is ""idling vehicle odor."" I am not reporting odor: I am reporting a health hazard. One can't always detect the smell of diesel exhaust, but particulate matter from these vehicles is still threatening heart, lung, brain and other organ function. I think you should edit your ""report a problem"" page to reflect this. It's also unlikely DEP will detect an odor when they drive by the location, but agents will surely see ambulances in non-emergency mode idling on a residential street. Thank you.","Department of Environmental Protection","In Review"
"10/25/2025 03:24:00 PM","To: Matthew C. Fraser, Chief Technology Officer NYC Office of Technology & Innovation (OTI) Cc: Jessica S. Tisch, Police Commissioner New York City Police Department 311 Program Management Office Mayor's Office of Operations Subject: Add a Dedicated 311 Service Request Type for Abandoned Police Barricades Dear Chief Technology Officer Fraser, I am writing to request a change to the NYC 311 system regarding police barricades. Right now, the ""Police Barricade Request"" page on the 311 portal (hxxxs://portal[.]311[.]nyc[.]gov/article/?kanumber=KA-02925) tells residents to contact their local precinct's community affairs officer to have police barricades set up or removed. The page treats setup and removal as a single process and directs people to handle it manually with a precinct. That approach may work for barricade setup of planned events, but it fails for a different and very common problem: abandoned NYPD barricades that are left in place for days or weeks after they are no longer needed. Problem: * Metal and wooden sawhorse barricades are routinely left behind on sidewalks and at corners after the original police activity ends. * There is currently no dedicated 311 complaint category to report these abandoned barricades. * Residents are not given a way to submit a location, attach a photo, and receive a service request number for follow-up. * Requiring each resident to find and call or email the correct precinct community affairs officer is inefficient and discourages reporting, which is why the barricades often sit in public space indefinitely. Requested fix: 1. Split the current topic into two distinct 311 items: * ""Police Barricade Setup Request"" * ""Police Barricade Removal / Abandoned Barricade Report"" 2. For ""Police Barricade Removal / Abandoned Barricade Report,"" add a normal 311 service request workflow that: * takes the exact location (address or intersection), * allows one or more photos, and * generates a tracking / SR number so the public can see status like they can for complaints about abandoned vehicles or blocked sidewalks. 3. Route that request automatically to the appropriate person or team. Why this matters: * Abandoned barricades block pedestrian space, create obstruction at curb ramps, inconvenience those with wheelchairs, and visually signal ""this corner is nobody's responsibility."" * New York City already uses 311 to track quality-of-life issues and abandoned equipment in the public right of way; abandoned police barricades are functionally similar and should be handled with the same transparency. * Giving residents a structured request path, instead of telling them to call a precinct's community affairs officer, would generate usable data, create accountability, and help clean up the streets. I am asking OTI, as the steward of 311's design and intake logic, to create this dedicated service request type and to publicly separate ""setup"" from ""removal."" Thank you for your attention to this. I would appreciate confirmation that this request will be reviewed.","New York City Police Department","In Review"
"09/16/2025 09:08:00 PM","I need a link for recurring stolen packages and a building with cameras who not doing anything to stop it. My kidney meds was stolen","New York City Police Department","Already Exists"
"09/12/2025 12:00:00 AM","The 311 system needs to go back to accepting complaints for filthy and unmopped hallways. currently, 311 says it cannot accept that kind of complaint.","Department of Housing Preservation and Development","In Review"
"09/11/2025 10:51:00 AM","How does one report reckless driving that happened earlier and is no longer necessarily a threat","New York City Police Department","In Review"
"05/29/2025 10:19:00 PM","There needs to be an option for vehicle noise from vehicle's muffler or exhaust system
Currently under Noise - Vehicle, there are three options - Car/Truck Horn, Car/Truck Music, and Engine Idling.

There should be an ""excessive noise from vehicle's muffler or exhaust system"" as per Legal Noise Limits:
There is a limit to the amount of noise a vehicle's muffler or exhaust system may make on public roads where the speed limit is 35 miles per hour or less. 

Currently I am using Engine Idling since I have no other available option.
Please make this 4th option be added to both website and app.","New York City Police Department","Already Exists"
"05/26/2025 10:25:00 AM","Where is the complaint section for Law 157 about the new detectors that have to be installed in residential buildings?","Department of Housing Preservation and Development","In Review"
"05/07/2025 07:22:00 PM","""Allow reporting of mopeds on park paths""","Department of Parks and Recreation","In Review"
"03/22/2025 06:37:00 PM","Dear NYC311 App and Website Development Teams, I am writing to suggest the addition of a nuisance complaint reporting feature to the NYC311 app and website. This is a suggestion, not a business proposal, and I believe it would greatly enhance the platform’s functionality by allowing residents to report issues such as noise disturbances, persistent odors, or other non-emergency nuisances more efficiently. Currently, such complaints may fall through the cracks or require residents to navigate multiple channels, which can be time-consuming and frustrating. By integrating this feature, NYC311 could streamline the process, making it easier for users to report and track these issues while improving overall service delivery. I kindly request that this suggestion be processed as such and not as a proposal. Additionally, I would prefer a response by email, as this is not an emergency matter but rather a thoughtful suggestion aimed at improving the platform. Please forward this message to the appropriate parties, management, or teams involved in app and website development for further consideration. Thank you for your attention to this matter.","New York City Police Department","Not Implemented"
"03/21/2025 07:06:00 PM","Dear NYPD and NYC311, I am writing to suggest the addition of three new forms to the NYC311 app and website: a Quality of Life Complaint Form, a Door-to-Door Solicitation Complaint Form, and a Nuisance Complaint Form. These forms would allow residents to report and track potential issues more effectively, ensuring that concerns such as persistent noise, unwanted solicitation, or other nuisances are addressed promptly and systematically. By implementing these forms, NYC311 and the NYPD can better monitor and respond to these types of complaints, improving the overall quality of life for New Yorkers. This is a suggestion, not a business proposal, and I kindly request that it be processed as such. I believe this addition would streamline reporting processes and enhance public safety. If this message reaches the wrong department or precinct, please forward it to the appropriate parties. I prefer a response by email, as this is not an emergency matter but rather a well-reasoned suggestion for improving city services.","New York City Police Department","Already Exists"
"03/11/2025 06:10:00 PM","I ask to request NYC311 Online to update and include a new select of ""Garage"" for Apartment Maintenance Complaint > Public Area Maintenance Complaint > Step 2 >Problem=Electric > Problem Detail=No Lighting > Additional Details=One Room or Area > Location Detail=[add Garage] Garage of an apartment building is a public area, but NYC311 has no availability to make any complaints to the lighting of garage. Thanks","Department of Housing Preservation and Development","In Review"
"12/29/2024 11:33:00 AM","Create drop-down for reporting cars blocking designated electric vehicles charging","New York City Police Department","Not Implemented"
"12/05/2024 03:13:00 AM","Please offer help with industrial light, from buildings that are closed at night, beaming directly into apartments in neighboring residential buildings.","Department of Buildings","In Review"
"08/26/2024 12:10:00 AM","As of now there are 3 types of complaints for car noise: music, horn and engine idling.
But there isn’t an option for the 4th car noise issue: noise from cars exceeding legal limits.
An example of this is a car driving by modded to make a lot of noise.
This 4th one needs to be added","New York City Police Department","Not Implemented"
"08/25/2024 09:14:00 AM","Please update the page, ""Illegal Parking"" located at: https://portal.311.nyc.gov/article/?kanumber=KA-01986

Under the subtitle, ""Report Illegally Parked Vehicles, You can report non-emergency vehicles and motorcycles that are:""
add the bullet point, ""Parked within twenty feet of a crosswalk.""

Reason for this update: according to New York State law, it is illegal to park within twenty feet of a crosswalk. The current ""Illegal Parking"" page mentions ""blocking"" but does not tell drivers that they must not park within twenty feet of a crosswalk.","Department of Transportation","Already Exists"
"08/20/2024 12:12:00 PM","I tried to make a specific complaint (water discolored from rust in pipes) but there was 'no box' for that I was told. I can't believe NYC doesn't care about my drinking water.","Department of Environmental Protection","Content Clarified"
"06/26/2024 04:19:00 PM","Allow people to submit reports here. 911 will not take a complaint unless a police officer witnesses it personally.","New York City Police Department","Content Clarified"
"06/18/2024 10:13:00 AM","Why can't I do this online?","New York City Police Department","Content Clarified"
"05/28/2024 11:44:00 AM","The city should have a separate number is that a 911 to report prostitution because they won't come right away it's not an emergency so-called by the department have a department that dedicates for that specific category so they can take action sooner than later","New York City Police Department","Content Clarified"
"05/20/2024 01:46:00 PM","There is no category for reporting a dumpster with an expired permit","Department of Transportation","In Review"
"05/07/2024 05:51:00 PM","the precinct page doesn't have a way to report the lost item. what's the online reporting link?","New York City Police Department","Content Clarified"
"04/25/2024 05:42:00 PM","How to report a fake police car ?","New York City Police Department","Already Exists"
"04/22/2024 12:51:00 AM","I am looking for membership complaints at tanning salons. They say my membership timed out after only three visits.","Department of Consumer and Worker Protection","Not Implemented"
"04/06/2024 02:25:00 AM","Need better selections 
ie faded lane markings on bridge","Department of Transportation","In Review"
"02/26/2024 03:26:00 PM","There's no option to report (in motion) non-idling loud engine vehicles.","New York City Police Department","Duplicate"
"02/12/2024 02:55:00 PM","No place to report Unnecessary excessive scaffold","Department of Buildings","Content Clarified"
"02/10/2024 11:34:00 AM","Can’t report fake license plates that aren’t paper, the ones bought online that look like real plates from NY and other states like Oklahoma","New York City Police Department","Not Implemented"
"02/07/2024 04:12:00 PM","How about reporting a vehicle with questionable license plate?  Like a fake license plate.  It would be good to make these reports including someone driving the vehicle with the fake license plate instead of calling 911.","New York City Police Department","Already Exists"
"02/07/2024 12:00:00 AM","What about something that happened before?","New York City Police Department","Not Implemented"
"02/05/2024 04:05:00 PM","It’s noise from laundromat machines. Need that category to file noise complaint","Department of Environmental Protection","Content Clarified"
"12/05/2023 07:06:00 PM","You fail to list on this page a very common source of excessive noise from motor vehicles in NYC, namely motorcycles and cars whose mufflers have been purposely adjusted or removed and whose owners purposely race their engines with intention to intimidate or attract attention.This is different from drag racing: the car can be sitting still at a red light or slowly cruising with gear shift in neutral. It's a form of aggression against pedestrians and other drivers, and a huge nuisance to residents along streets where it regularly happens. So I suggest you add to this page another category of noise, maybe you can call it ""aggressive engine racing"", and advise whether citizens should call 311 or 911 to report it.","New York City Police Department","Not Implemented"
"11/04/2023 02:16:00 PM","There should be a form to immediately submit photos of poop on hotel comforters, sparking power plugs, etc. at a major hotel instead of this useless long process.","Department of Consumer and Worker Protection","Out of Jurisdiction"
"10/09/2023 05:35:00 PM","There needs to be a way to complain about excessive heat after October 1st. Warm temperatures are dangerous for small infants to sleep in. My apartment is 78 degrees with the windows open and I have a 5 month old","Department of Housing Preservation and Development","Not Implemented"
"09/06/2023 12:02:00 AM","boy, it sure is hard to make a complaint if you can't find the right topic to select. it's like a drop down menu with 5000 possibilities to scroll through and none match. the building across from me has some items on the ledge that might easily fall on some passerby and i can't find a way to report it so that someone can check it out.","Department of Buildings","Content Clarified"
"08/22/2023 06:00:00 PM","instead of just electrical wiring it should have braker panel switch box+ instead of just outlets + switches defective or illegal it should hsve not grounded and instead of just no gas it should also have no appliance+ instead of only hookup/piping for DOB it should have gas pipes + also water pipes * they can be broken or defective or corroding etc!! Thx","Department of Housing Preservation and Development","Not Implemented"
"08/22/2023 06:00:00 PM","instead of just electrical wiring it should have braker panel switch box+ instead of just outlets + switches defective or illegal it should hsve not grounded and instead of just no gas it should also have no appliance+ instead of only hookup/piping for DOB it should have gas pipes + also water pipes * they can be broken or defective or corroding etc!! Thx","Department of Buildings","Already Exists"
"08/09/2023 10:12:00 AM","Drop down menu for ""illegal use of trees for lights and signage"".  Restaurants are destroying our trees with lights, wires and signage.  We need a menu to report those violations.","Department of Parks and Recreation","In Review"
"08/09/2023 08:46:00 AM","You need to add ""Illegal Tree Lights"" to the drop down menu.  Many businesses are putting lights on public trees without a permit.","Department of Parks and Recreation","In Review"
"08/04/2023 02:33:00 PM","You really need to be sensible and add more options.  The minds of lawless people is vast.  You need to add, 'parked 'facing' traffic.  People are now parking and facing the flow of traffic.","New York City Police Department","Already Exists"
"08/03/2023 09:17:00 AM","The majority of erratically acting homeless people I encounter are on trains, not in subway stations. Please add a mechanism to report subway car and car number as a place where homeless people are disrupting the lives of NYers","Department of Homeless Services","In Review"
